iter	MultiClassOneVsAll
0	0.6769676337
1	0.6603703457
2	0.6450865672
3	0.6302186497
4	0.6168608694
5	0.6035802771
6	0.5912044435
7	0.5793703638
8	0.5677890559
9	0.5563210227
10	0.5456469809
11	0.5356875641
12	0.5259356258
13	0.5166846279
14	0.5077357642
15	0.4995316117
16	0.4914886988
17	0.4836591008
18	0.4756477947
19	0.4686159693
20	0.4615850892
21	0.4546367812
22	0.4478118999
23	0.4416140161
24	0.4354268597
25	0.4297717162
26	0.4241199018
27	0.4188809071
28	0.413343436
29	0.408245788
30	0.4035688098
31	0.398996393
32	0.3944158381
33	0.3899153892
34	0.3857509831
35	0.381736966
36	0.3778396761
37	0.3741693054
38	0.3708173039
39	0.3673993762
40	0.3640536633
41	0.3608461733
42	0.3574839788
43	0.3544039434
44	0.3514187283
45	0.3483370078
46	0.3455963443
47	0.3428715664
48	0.3401999323
49	0.3376135007
50	0.3349339341
51	0.3325152362
52	0.3301426949
53	0.3279056433
54	0.3257767905
55	0.3236002604
56	0.3215382997
57	0.3196886673
58	0.3178609623
59	0.3158810805
60	0.314001732
61	0.3121817335
62	0.3104637069
63	0.3087257873
64	0.307098923
65	0.3055487533
66	0.3039527559
67	0.3025635999
68	0.3010859737
69	0.2996896866
70	0.2982774523
71	0.2969618467
72	0.2957267581
73	0.2945426145
74	0.2933476201
75	0.2921719227
76	0.2910505404
77	0.2899843158
78	0.288909275
79	0.2878033879
80	0.2868502119
81	0.2858574967
82	0.2849324133
83	0.2840341279
84	0.2831099488
85	0.28220706
86	0.2812626797
87	0.2803334246
88	0.2794870293
89	0.27866848
90	0.2778178103
91	0.2769907531
92	0.2761974193
93	0.2754317878
94	0.2747075861
95	0.2740453033
96	0.2733892473
97	0.2726970018
98	0.272027855
99	0.2713992957
100	0.2707824091
101	0.2701910668
102	0.2696291323
103	0.2689963601
104	0.2684651282
105	0.2678656273
106	0.2672772237
107	0.2667201392
108	0.2661688294
109	0.2656917277
110	0.2651649758
111	0.2646650218
112	0.2641558201
113	0.2636535439
114	0.263207494
115	0.2627990928
116	0.2623796354
117	0.2619443746
118	0.2615434743
119	0.2611382584
120	0.2607129646
121	0.2603456234
122	0.2600008467
123	0.2596147634
124	0.2592506691
125	0.2588565916
126	0.2585164594
127	0.2581767792
128	0.2578124794
129	0.2574942335
130	0.2572031349
131	0.2568332659
132	0.2565186985
133	0.2562239624
134	0.2558688694
135	0.2555889091
136	0.2553129357
137	0.2550065474
138	0.2547648523
139	0.2544719041
140	0.2541917589
141	0.2539191352
142	0.2536663633
143	0.2534288811
144	0.2532038319
145	0.2529067325
146	0.2526511452
147	0.2524236917
148	0.2521753587
149	0.2518856164
150	0.2515922983
151	0.2513148452
152	0.2510388101
153	0.2508082534
154	0.2505500562
155	0.2502932976
156	0.2500503694
157	0.2497848768
158	0.2496059842
159	0.2493853945
160	0.2491886434
161	0.2489643752
162	0.2487419771
163	0.2485451027
164	0.2482961738
165	0.2480617742
166	0.2478443904
167	0.24762639
168	0.2474354343
169	0.2472198178
170	0.2470132231
171	0.2468566689
172	0.2466760706
173	0.2465034459
174	0.2463257658
175	0.2461520519
176	0.2459902163
177	0.245878524
178	0.2457566181
179	0.2456035781
180	0.2454145746
181	0.2452365862
182	0.2450609817
183	0.2448595246
184	0.244728186
185	0.2445579657
186	0.2443901293
187	0.244214607
188	0.2440453115
189	0.2438704674
190	0.2437710027
191	0.2436010085
192	0.243434775
193	0.2432751588
194	0.2430847579
195	0.2428625036
196	0.2427824181
197	0.2426424071
198	0.2425026839
199	0.2423825659
200	0.242264133
201	0.2421060376
202	0.2420041274
203	0.2418711036
204	0.2416936084
205	0.2415488298
206	0.2414340344
207	0.2413384126
208	0.241190798
209	0.2410822705
210	0.2409753048
211	0.2407915417
212	0.2406787808
213	0.2405609645
214	0.2404693295
215	0.2403846612
216	0.240229299
217	0.240124635
218	0.240001455
219	0.2398649582
220	0.2397375653
221	0.2396304558
222	0.2394844852
223	0.2393111823
224	0.2391904478
225	0.2390711929
226	0.2389481156
227	0.2388261891
228	0.2386293764
229	0.238505025
230	0.2383793173
231	0.2382133921
232	0.2380440966
233	0.2379269789
234	0.2377945717
235	0.2376622261
236	0.2375505955
237	0.2374581591
238	0.2373703465
239	0.23726708
240	0.2371711911
241	0.2370646364
242	0.2369877568
243	0.2368993483
244	0.2367686468
245	0.2366835058
246	0.2365674362
247	0.2364603884
248	0.236390126
249	0.2362692888
250	0.2361659605
251	0.2360112971
252	0.2359039615
253	0.2357853848
254	0.2356106023
255	0.2354717011
256	0.2353212504
257	0.2352374042
258	0.235150167
259	0.2350493871
260	0.234941435
261	0.2348044656
