iter	Passed	Remaining
0	10	21049
1	19	19269
2	27	18174
3	36	18347
4	45	18024
5	53	17691
6	60	17314
7	68	17023
8	76	16829
9	86	17271
10	95	17266
11	105	17496
12	113	17319
13	121	17173
14	128	17057
15	137	16994
16	144	16846
17	151	16668
18	159	16582
19	166	16481
20	173	16368
21	180	16217
22	188	16212
23	195	16133
24	203	16042
25	210	15964
26	217	15922
27	226	15981
28	235	15973
29	242	15925
30	250	15922
31	258	15888
32	266	15909
33	274	15892
34	282	15847
35	290	15833
36	297	15798
37	306	15825
38	314	15822
39	323	15838
40	331	15861
41	340	15881
42	349	15902
43	359	15989
44	370	16094
45	380	16174
46	388	16155
47	396	16121
48	404	16096
49	412	16081
50	421	16094
51	430	16110
52	438	16108
53	448	16146
54	456	16138
55	465	16144
56	474	16165
57	482	16160
58	492	16188
59	500	16181
60	508	16165
61	516	16154
62	524	16123
63	531	16071
64	538	16023
65	545	15971
66	552	15928
67	559	15888
68	566	15852
69	573	15816
70	580	15776
71	587	15738
72	594	15703
73	601	15666
74	608	15627
75	615	15589
76	623	15561
77	631	15555
78	638	15535
79	647	15529
80	654	15500
81	661	15483
82	669	15468
83	677	15442
84	685	15449
85	695	15476
86	703	15462
87	710	15440
88	718	15419
89	727	15448
90	736	15442
91	743	15415
92	750	15386
93	757	15367
94	765	15346
95	772	15330
96	780	15317
97	788	15312
98	795	15283
99	803	15265
100	810	15242
101	818	15233
102	826	15219
103	834	15205
104	842	15212
105	851	15211
106	860	15215
107	868	15218
108	877	15217
109	891	15318
110	902	15366
111	913	15391
112	921	15390
113	928	15362
114	935	15339
115	942	15310
116	949	15284
117	956	15253
118	962	15219
119	969	15189
120	976	15165
121	983	15144
122	992	15143
123	1000	15137
124	1009	15148
125	1019	15156
126	1027	15153
127	1036	15163
128	1046	15172
129	1055	15178
130	1062	15160
131	1072	15174
132	1081	15183
133	1089	15173
134	1101	15212
135	1109	15206
136	1117	15199
137	1125	15180
138	1132	15165
139	1139	15137
140	1146	15117
141	1154	15099
142	1162	15096
143	1171	15094
144	1180	15099
145	1189	15105
146	1197	15091
147	1204	15067
148	1210	15042
149	1217	15016
150	1224	14993
151	1232	14979
152	1239	14962
153	1246	14944
154	1254	14936
155	1261	14912
156	1269	14899
157	1277	14893
158	1285	14882
159	1293	14874
160	1300	14856
161	1309	14861
162	1318	14859
163	1326	14845
164	1335	14850
165	1344	14852
166	1351	14838
167	1360	14832
168	1369	14836
169	1376	14817
170	1384	14806
171	1391	14791
172	1399	14778
173	1406	14763
174	1414	14753
175	1422	14742
176	1430	14730
177	1438	14726
178	1447	14725
179	1455	14711
180	1462	14697
181	1470	14693
182	1479	14688
183	1487	14683
184	1495	14673
185	1504	14669
186	1510	14649
187	1519	14641
188	1527	14637
189	1536	14639
190	1546	14643
191	1553	14630
192	1561	14615
193	1569	14609
194	1577	14602
195	1587	14607
196	1597	14618
197	1606	14624
198	1615	14618
199	1624	14616
200	1631	14605
201	1641	14611
202	1659	14689
203	1668	14690
204	1678	14700
205	1687	14699
206	1695	14686
207	1703	14680
208	1712	14671
209	1719	14657
210	1727	14650
211	1735	14634
212	1743	14627
213	1751	14619
214	1759	14606
215	1766	14592
216	1774	14579
217	1782	14568
218	1790	14558
219	1798	14551
220	1806	14542
221	1814	14533
222	1822	14522
223	1831	14523
224	1840	14521
225	1850	14528
226	1859	14524
227	1867	14513
228	1876	14514
229	1886	14517
230	1894	14506
231	1903	14507
232	1913	14508
233	1920	14496
234	1928	14487
235	1937	14483
236	1944	14468
237	1952	14453
238	1959	14435
239	1966	14422
240	1973	14407
241	1981	14397
242	1989	14382
243	1996	14364
244	2002	14346
245	2009	14327
246	2016	14308
247	2022	14290
248	2029	14273
249	2036	14255
250	2043	14238
251	2050	14221
252	2057	14209
253	2065	14194
254	2073	14188
255	2082	14189
256	2090	14181
257	2100	14180
258	2109	14182
259	2118	14176
260	2126	14168
261	2134	14161
262	2142	14150
263	2151	14146
264	2158	14131
265	2166	14123
266	2174	14112
267	2181	14096
268	2188	14085
269	2195	14070
270	2203	14059
271	2210	14043
272	2217	14030
273	2225	14017
274	2231	13999
275	2238	13985
276	2246	13975
277	2254	13964
278	2262	13955
279	2270	13947
280	2278	13937
281	2285	13922
282	2293	13915
283	2301	13905
284	2309	13897
285	2317	13887
286	2325	13881
287	2335	13881
288	2344	13882
289	2354	13882
290	2363	13880
291	2373	13880
292	2382	13882
293	2392	13883
294	2402	13883
295	2412	13889
296	2420	13877
297	2428	13872
298	2437	13867
299	2444	13853
300	2453	13850
301	2461	13840
302	2470	13835
303	2478	13827
304	2486	13819
305	2494	13810
306	2502	13801
307	2510	13790
308	2519	13785
309	2526	13772
310	2535	13769
311	2543	13763
312	2551	13750
313	2558	13739
314	2566	13729
315	2574	13719
316	2581	13706
317	2589	13695
318	2596	13683
319	2604	13671
320	2611	13659
321	2618	13646
322	2625	13631
323	2632	13619
324	2640	13609
325	2648	13599
326	2656	13592
327	2664	13584
328	2672	13572
329	2680	13566
330	2690	13563
331	2698	13559
332	2706	13550
333	2715	13543
334	2724	13539
335	2733	13537
336	2742	13535
337	2750	13525
338	2758	13518
339	2766	13507
340	2773	13494
341	2781	13484
342	2789	13475
343	2796	13464
344	2803	13450
345	2811	13440
346	2818	13427
347	2826	13415
348	2833	13403
349	2841	13393
350	2849	13385
351	2857	13377
352	2866	13375
353	2875	13370
354	2883	13361
355	2892	13357
356	2900	13349
357	2909	13343
358	2918	13338
359	2929	13346
360	2939	13344
361	2946	13334
362	2955	13326
363	2961	13312
364	2969	13300
365	2975	13285
366	2982	13272
367	2989	13259
368	2996	13244
369	3003	13231
370	3010	13217
371	3017	13204
372	3024	13190
373	3030	13176
374	3037	13162
375	3044	13149
376	3051	13135
377	3057	13121
378	3065	13111
379	3076	13117
380	3086	13116
381	3096	13114
382	3104	13108
383	3113	13100
384	3120	13091
385	3130	13090
386	3139	13084
387	3146	13073
388	3155	13067
389	3163	13058
390	3170	13045
391	3177	13033
392	3184	13019
393	3190	13006
394	3197	12992
395	3204	12979
396	3211	12966
397	3219	12959
398	3227	12950
399	3234	12937
400	3241	12924
401	3247	12909
402	3254	12897
403	3261	12885
404	3268	12873
405	3276	12862
406	3284	12855
407	3291	12843
408	3300	12838
409	3308	12829
410	3315	12818
411	3324	12814
412	3333	12809
413	3340	12797
414	3347	12786
415	3355	12774
416	3362	12766
417	3369	12753
418	3378	12747
419	3386	12738
420	3394	12732
421	3402	12721
422	3410	12716
423	3419	12711
424	3429	12707
425	3437	12701
426	3445	12693
427	3453	12685
428	3461	12674
429	3469	12668
430	3478	12662
431	3485	12651
432	3494	12647
433	3502	12636
434	3512	12635
435	3521	12633
436	3529	12622
437	3538	12618
438	3546	12610
439	3553	12599
440	3562	12593
441	3568	12579
442	3576	12570
443	3583	12557
444	3590	12546
445	3597	12536
446	3605	12527
447	3613	12516
448	3619	12504
449	3626	12492
450	3634	12483
451	3642	12474
452	3650	12465
453	3657	12453
454	3665	12445
455	3673	12437
456	3681	12428
457	3688	12417
458	3696	12410
459	3706	12409
460	3713	12398
461	3721	12389
462	3730	12382
463	3737	12372
464	3745	12363
465	3752	12353
466	3760	12344
467	3767	12332
468	3777	12329
469	3785	12324
470	3793	12313
471	3800	12303
472	3808	12294
473	3815	12284
474	3822	12273
475	3829	12262
476	3837	12251
477	3844	12241
478	3851	12230
479	3859	12220
480	3866	12209
481	3874	12202
482	3882	12194
483	3890	12186
484	3897	12175
485	3905	12166
486	3912	12154
487	3920	12146
488	3927	12136
489	3934	12125
490	3943	12120
491	3952	12113
492	3962	12111
493	3971	12108
494	3979	12099
495	3987	12090
496	3995	12083
497	4003	12073
498	4011	12067
499	4020	12062
500	4030	12058
501	4039	12053
502	4049	12051
503	4062	12057
504	4075	12064
505	4083	12058
506	4093	12055
507	4102	12048
508	4109	12038
509	4118	12031
510	4127	12025
511	4134	12016
512	4143	12011
513	4151	12003
514	4159	11994
515	4169	11991
516	4178	11985
517	4186	11977
518	4194	11968
519	4202	11961
520	4210	11952
521	4217	11941
522	4223	11928
523	4230	11917
524	4238	11908
525	4245	11897
526	4252	11887
527	4260	11877
528	4267	11865
529	4274	11855
530	4282	11848
531	4290	11839
532	4298	11831
533	4307	11826
534	4315	11817
535	4322	11806
536	4329	11795
537	4337	11786
538	4344	11775
539	4352	11769
540	4360	11759
541	4368	11751
542	4376	11742
543	4384	11734
544	4391	11724
545	4399	11714
546	4406	11705
547	4413	11695
548	4420	11684
549	4428	11675
550	4435	11665
551	4443	11654
552	4449	11643
553	4457	11634
554	4465	11625
555	4472	11615
556	4479	11605
557	4488	11599
558	4496	11590
559	4503	11579
560	4511	11573
561	4521	11568
562	4528	11559
563	4537	11554
564	4546	11546
565	4553	11535
566	4560	11525
567	4568	11517
568	4576	11508
569	4582	11497
570	4590	11487
571	4597	11476
572	4604	11466
573	4611	11456
574	4619	11447
575	4626	11437
576	4633	11427
577	4640	11416
578	4647	11405
579	4655	11396
580	4662	11387
581	4670	11378
582	4677	11368
583	4684	11358
584	4693	11352
585	4700	11342
586	4709	11335
587	4718	11330
588	4727	11325
589	4736	11320
590	4745	11313
591	4753	11304
592	4761	11297
593	4769	11288
594	4777	11281
595	4785	11273
596	4792	11263
597	4800	11255
598	4807	11244
599	4815	11235
600	4822	11226
601	4829	11215
602	4836	11205
603	4843	11194
604	4851	11186
605	4858	11175
606	4864	11163
607	4871	11152
608	4878	11142
609	4886	11134
610	4895	11128
611	4903	11121
612	4911	11113
613	4920	11107
614	4928	11098
615	4936	11090
616	4944	11082
617	4952	11074
618	4960	11066
619	4968	11058
620	4977	11052
621	4985	11045
622	4992	11035
623	5001	11028
624	5008	11019
625	5016	11010
626	5023	10999
627	5030	10989
628	5037	10980
629	5044	10970
630	5054	10967
631	5061	10955
632	5068	10944
633	5075	10934
634	5082	10924
635	5089	10914
636	5096	10905
637	5104	10897
638	5113	10890
639	5122	10885
640	5133	10883
641	5142	10878
642	5150	10870
643	5160	10865
644	5169	10859
645	5177	10851
646	5186	10846
647	5195	10840
648	5204	10834
649	5212	10825
650	5219	10815
651	5227	10807
652	5234	10798
653	5241	10788
654	5248	10777
655	5255	10768
656	5263	10759
657	5271	10750
658	5278	10741
659	5285	10730
660	5292	10721
661	5301	10715
662	5308	10705
663	5317	10698
664	5325	10691
665	5333	10682
666	5341	10675
667	5349	10667
668	5358	10660
669	5368	10656
670	5375	10647
671	5384	10640
672	5392	10632
673	5399	10623
674	5408	10616
675	5415	10607
676	5424	10599
677	5432	10591
678	5440	10584
679	5447	10575
680	5454	10565
681	5462	10557
682	5470	10548
683	5477	10539
684	5485	10530
685	5492	10520
686	5499	10511
687	5509	10505
688	5516	10496
689	5524	10488
690	5531	10478
691	5539	10469
692	5546	10460
693	5555	10455
694	5565	10450
695	5572	10440
696	5580	10432
697	5587	10422
698	5596	10415
699	5603	10406
700	5610	10396
701	5617	10386
702	5624	10376
703	5631	10366
704	5637	10356
705	5646	10348
706	5652	10338
707	5659	10328
708	5666	10318
709	5673	10308
710	5680	10298
711	5687	10288
712	5694	10278
713	5701	10268
714	5709	10260
715	5716	10250
716	5723	10241
717	5730	10232
718	5738	10224
719	5745	10214
720	5753	10205
721	5761	10197
722	5768	10188
723	5777	10182
724	5784	10173
725	5793	10165
726	5801	10158
727	5808	10149
728	5815	10139
729	5822	10130
730	5830	10120
731	5837	10111
